metadata features: 19 (age_z, sex_female, sex_male, sex_unknown, loc_abdomen, ...)
device: mps | resolution: 128 | seeds: [1, 2, 3]
channel means: [0.765 0.548 0.574] | stds: [0.138 0.15  0.166]
parameters: 4,723,725
seed 3 | epoch 35/50 | train loss 1.2624 | val acc 0.7705 | macroF1 0.5859
seed 3 | epoch 36/50 | train loss 1.2502 | val acc 0.7786 | macroF1 0.5718
seed 3 | epoch 37/50 | train loss 1.2384 | val acc 0.7937 | macroF1 0.5826
seed 3 | epoch 38/50 | train loss 1.2277 | val acc 0.7947 | macroF1 0.6119  <- best
seed 3 | epoch 39/50 | train loss 1.2258 | val acc 0.8018 | macroF1 0.6276  <- best
seed 3 | epoch 40/50 | train loss 1.2197 | val acc 0.7927 | macroF1 0.6243
seed 3 | epoch 41/50 | train loss 1.2117 | val acc 0.7937 | macroF1 0.6200
seed 3 | epoch 42/50 | train loss 1.2042 | val acc 0.8008 | macroF1 0.6295  <- best
seed 3 | epoch 43/50 | train loss 1.2040 | val acc 0.8038 | macroF1 0.6313  <- best
seed 3 | epoch 44/50 | train loss 1.2049 | val acc 0.8049 | macroF1 0.6299
seed 3 | epoch 45/50 | train loss 1.1922 | val acc 0.7978 | macroF1 0.6247
seed 3 | epoch 46/50 | train loss 1.1933 | val acc 0.8038 | macroF1 0.6250
seed 3 | epoch 47/50 | train loss 1.1936 | val acc 0.8059 | macroF1 0.6325  <- best
seed 3 | epoch 48/50 | train loss 1.1901 | val acc 0.8049 | macroF1 0.6205
seed 3 | epoch 49/50 | train loss 1.1896 | val acc 0.8059 | macroF1 0.6417  <- best
seed 3 | epoch 50/50 | train loss 1.1846 | val acc 0.7988 | macroF1 0.6285

seed 3 done | best val macroF1 0.6417 | test acc (TTA) 0.7950


per-seed test accuracy (TTA):
  seed 1: 0.7594   (best val macroF1 0.6175)
  seed 2: 0.7663   (best val macroF1 0.6409)
  seed 3: 0.7950   (best val macroF1 0.6417)

================================================================
TEST - ensemble of 3 seeds, + TTA
  accuracy          : 0.7881
  balanced accuracy : 0.6419
  macro F1          : 0.6206
  weighted F1       : 0.7959
  Cohen's kappa     : 0.6209
  macro ROC-AUC     : 0.9534
  malignant sensitivity: 0.7635  specificity: 0.8724
  melanomas called benign: 29 of 116

================================================================
TEST - ensemble + TTA + per-lesion pooling
  accuracy          : 0.7812
  balanced accuracy : 0.6304
  macro F1          : 0.6136
  weighted F1       : 0.7886
  Cohen's kappa     : 0.6074
  macro ROC-AUC     : 0.9595
  malignant sensitivity: 0.7734  specificity: 0.8649
  melanomas called benign: 30 of 116

                                precision    recall  f1-score   support

              Melanocytic nevi      0.932     0.867     0.899       669
                      Melanoma      0.475     0.733     0.576       116
Benign keratosis-like lesions       0.609     0.505     0.552       111
          Basal cell carcinoma      0.603     0.636     0.619        55
             Actinic keratoses      0.621     0.562     0.590        32
              Vascular lesions      0.615     0.571     0.593        14
                Dermatofibroma      0.412     0.538     0.467        13

                      accuracy                          0.781      1010
                     macro avg      0.610     0.630     0.614      1010
                  weighted avg      0.805     0.781     0.789      1010

confusion matrix (rows = true, cols = predicted):
Melanocytic nevi                   580    63    14     6     0     3     3
Melanoma                            19    85    11     0     1     0     0
Benign keratosis-like lesions       18    19    56    11     2     2     3
Basal cell carcinoma                 2     4     4    35     8     0     2
Actinic keratoses                    1     1     5     5    18     0     2
Vascular lesions                     2     4     0     0     0     8     0
Dermatofibroma                       0     3     2     1     0     0     7

saved results_v3.json
